CNT,TIME,X,Y,TRIALS
43558,716.46704,0.43426,0.32837,0
43559,716.48358,0.43493,0.33138,0
43560,716.49988,0.4411,0.32223,0
43561,716.51636,0.44194,0.35796,0
43562,716.53284,0.4432,0.36279,0
43563,716.54919,0.426,0.36702,0
43564,716.5661,0.42312,0.36537,0
43565,716.58209,0.4226,0.36387,0
43566,716.59857,0.43465,0.36964,0
43567,716.61505,0.42448,0.44771,0
43568,716.63147,0.42448,0.44771,0
43569,716.64795,0.42516,0.44671,0
43570,716.66443,0.4157,0.45101,0
43571,716.68079,0.41646,0.45361,0
43572,716.69714,0.40297,0.43002,0
43573,716.7135,0.41002,0.43113,0
43574,716.73004,0.41002,0.43113,0
43575,716.74652,0.40473,0.44915,0
43576,716.76294,0.41808,0.45558,0
43577,716.7793,0.41808,0.45558,0
43578,716.79584,0.42606,0.43229,0
43579,716.81219,0.4303,0.43833,0
43580,716.8288,0.43016,0.43707,0
43581,716.84497,0.42203,0.44279,0
43582,716.86163,0.38152,0.33888,0
43583,716.87799,0.38063,0.33583,0
43584,716.89471,0.32942,0.13692,0
43585,716.91071,0.33014,0.15731,0
43586,716.92719,0.32909,0.15361,0
43587,716.9436,0.33546,0.12181,0
43588,716.96008,0.35226,0.11973,0
43589,716.9765,0.35193,0.11767,0
43590,716.99298,0.33541,0.10728,0
43591,717.00946,0.33417,0.09623,0
43592,717.02576,0.33405,0.09577,0
43593,717.04218,0.32854,0.08318,0
43594,717.05859,0.32788,0.08586,0
43595,717.07513,0.32672,0.08145,0
43596,717.09149,0.32292,0.10303,0
43597,717.10803,0.32541,0.0861,0
43598,717.12451,0.32683,0.09218,0
43599,717.14087,0.33162,0.10397,0
43600,717.15741,0.31707,0.14068,0
43601,717.17365,0.3172,0.14111,0
43602,717.19025,0.3338,0.11768,0
43603,717.20654,0.34635,0.12736,0
43604,717.2229,0.3471,0.12956,0
43605,717.23932,0.34568,0.1267,0
43606,717.25574,0.34608,0.12857,0
43607,717.27222,0.34399,0.12048,0
43608,717.28851,0.34827,0.11181,0
43609,717.30511,0.34603,0.10074,stop
43610,717.32159,0.34496,0.09644,start
43611,717.33807,0.34257,0.09227,0
43612,717.35425,0.33047,0.09645,0
43613,717.37061,0.33047,0.09645,0
43614,717.38715,0.33158,0.09428,0
43615,717.40363,0.32777,0.09848,0
43616,717.42017,0.32817,0.10057,0
43617,717.43652,0.54884,0.00495,0
43618,717.45294,0.56681,0.0234,0
43619,717.46954,0.56711,0.02574,0
43620,717.48572,0.56988,-0.00425,0
43621,717.50195,0.5778,-0.00749,0
43622,717.51855,0.57756,-0.003,0
43623,717.53497,0.58666,0.02391,0
43624,717.55157,0.59257,0.02775,0
43625,717.56781,0.5928,0.02994,0
43626,717.58429,0.57985,0.01128,0
43627,717.60077,0.56631,0.01622,0
43628,717.61713,0.56658,0.01868,0
