TIME,LX,LY,RX,RY
554802452,111.42,656.4,70.95,646.71
554804464,108.24,656.95,61.54,647.38
554806462,106.61,656.27,58.53,641.3
554808459,104.29,651.68,62.51,648.68
554810478,107.34,652.55,72.45,641.31
554812463,113.1,656.12,67.89,641.88
554814463,110.05,648.64,66.5,643.27
554816462,111.62,656.82,67.09,644.59
554818463,115.7,658.88,66.24,640.56
554820462,104.95,658.64,66.43,638.73
554822466,106.31,656.85,64.67,645.8
554824465,106.53,654.63,69.93,642.62
554826463,100.06,651.35,71.45,653.25
554828459,106.52,649,70.53,642.38
554830467,107.02,655.55,64.03,640.98
554832465,111.71,644.73,69.09,649.88
554834471,103.98,649.71,64.05,646.63
554836487,108.44,652.08,67.61,643.91
554838466,106.08,653.17,69.09,651.66
554840463,108.53,657.29,68.86,644.11
554842439,109.27,656.62,71.33,644.75
554844468,102.62,648.4,67.58,637.32
554846464,105.64,656.03,71.19,641.9
554848465,101.91,651.48,70.99,638.38
554850472,114.21,655.92,74.8,637.61
554852472,104.09,662.77,75.93,643.17
554854471,109.82,660.73,67.8,644.93
554856471,105,648.29,71.08,645.2
554858466,97.96,656.71,68.85,642.5
554860487,110.21,662.04,64.19,637.29
554862473,99.9,644.45,66.31,639.6
554864472,108.07,662.51,73.84,639.8
554866474,108.96,653.56,74.62,644.14
554868475,111.84,657.21,75.17,649.17
554870474,106.51,655.72,69.29,648.09
554872476,104.26,641.83,69.27,645.77
554874474,105.62,653.58,71.24,643.8
554876474,100.99,653.97,70.71,643.14
554878476,112.96,660.34,79.29,642.99
554880473,100.98,643.05,72.16,646.97
554882471,98.11,648.13,73.99,640.63
554884477,102.86,653.33,69,641.78
554886477,98.65,639.95,75.17,645.05
554888475,104.37,652.97,73.03,648.47
554890451,107.18,653.03,71.5,644.58
554892466,106.37,650.35,80.62,644.29
554894451,110.01,644.39,74.32,642.46
554896501,103.04,649.6,79.98,645.81
554898482,105.4,655.63,77.91,643.58
554900482,107.1,647.22,83.22,645.69
554902483,102.6,656.31,81.54,647.12
554904483,97.55,653.63,79.16,648.77
554906482,107.95,651.03,83.88,652.56
554908466,106.13,654.61,83.37,651.36
554910497,112.1,652,82.15,644.69
554912486,98.27,654.92,88.59,649.56
554914484,100.93,657.78,84.49,651.93
554916538,103.7,642.86,81.65,649.33
554918492,103.91,643.9,88.97,647.18
554920501,93.84,649.47,86.82,650.42
554922483,96.7,645.15,82.45,646.98
554924485,94.28,649.69,95.87,660.58
554926489,110.05,661.39,87.7,648.38
554928487,99.41,644.45,85.11,652.25
554930487,104.88,651.41,87.84,648.3
554932483,97.33,650.7,90.41,657.89
554934483,104.96,649.66,94.33,656.4
554936485,96.13,644.3,93.25,661.98
554938483,94.15,652.27,89.3,659.22
554940481,105.64,651.24,96.2,660.26
554942494,98.8,658.24,86.15,650.7
554944492,92.31,654.29,98.68,660.99
554946493,98.81,653.02,93.92,657.62
554948494,93.04,646.69,87.64,658.41
554950495,98.4,655.76,92.06,655.36
554952493,101.72,654.47,89.11,660.91
554954485,95.82,657.71,90.93,658.15
554956486,98.1,663.06,93.56,665.62
554958473,93.7,652.91,88.66,667.09
554960514,99.98,652.56,90.21,658.19
554962497,97.85,656.48,95.21,670.35
554964498,94.02,647.84,94.86,661.65
554966494,95.74,652.04,84.37,660.44
554968496,105.4,654.27,84.82,661.42
554970491,102.84,651.07,81.95,655.53
554972497,99.05,658.39,83.37,653.62
554974491,93.71,644.96,86.87,654.66
554976498,98.81,659.76,84.7,660.82
554978495,100.91,659.13,86.77,654.95
554980497,100.93,652.87,88.48,658.27
554982495,97.27,654.24,99.14,653.92
554984493,90.03,654.07,91.74,656
554986494,94.97,647.8,91.45,658.42
554988504,100.13,646.51,92.69,655.2
554990506,103.33,649.53,95.32,658.2
554992502,101.25,647.7,95.16,652.03
554994502,100.07,648.38,88.54,660.89
554996505,97.43,655.52,92.63,659.56
554998512,94.1,651.39,85.94,656.47
555000547,106.4,651.11,88.78,659.62
555002507,96.35,648.01,85.17,663.18
555004505,102.66,658.33,91.44,661.06
555006507,96.22,654.89,83.26,650.5
555008490,101.39,658.06,85.74,656.07
555010496,98.46,657.98,88.01,663.28
555012506,97.15,645.26,85.19,664.63
555014493,104.16,649.38,88.07,664.41
555016495,100.09,651.14,82.31,658.93
555018516,94.4,647.81,84.44,657.13
555020506,89.11,648.81,80.83,656.87
555022504,96.69,648.29,86.7,659.89
555024507,102.1,655.09,85.33,657.25
555026505,92.37,643.83,85.33,656.56
555028505,99.95,651.05,80.92,649.85
555030503,88.5,647.62,76.12,646.05
555032506,97.82,645.89,65.39,644.85
555034500,101.12,646.88,66.04,649.25
555036492,103.8,638.18,88.5,666.33
555038528,105.96,631.45,108.38,639.16
555040519,126.82,632.05,104.87,621.44
555042516,158.77,604.6,139.81,626.45
555044515,164.81,613.58,150.94,610.34
555046514,188.6,596.09,184.4,600.61
555048515,207.09,576.3,207.22,580.03
555050514,237.05,574.61,225.87,571.93
555052516,254.39,566.87,248.77,551.18
555054514,270.23,560.86,289.85,548.37
555056516,311.42,545.99,308.97,539.73
